Regiao_Administrativa,Endereço,Horario_de_funcionamento,Latitude,Longitude
Varjão, Quadra 05| Conjunto A| Área Comunitária, Ginásio do Varjão,-15.72412,-47.86912
Plano Piloto, SGAS 910| Módulo B, Ginásio do Colégio Leonardo da Vinci,-15.81512,-47.90212
Asa Sul, L2 Sul| Quadra 611, Ginásio da Igreja Batista Central,-15.81612,-47.89712
Gama, Setor Industrial| Lote 1.770, Ginásio do Sesi Gama,-16.00124,-48.04124
Sobradinho, Grande Colorado| Condomínio Vivendas, Ginásio do Clube da Aseel,-15.68124,-47.83124
Riacho Fundo II, QN 15| Área Especial, Ginásio do Centro de Ensino 01,-15.90124,-48.02124
Brazlândia, Incra 08| Lote 14, Ginásio da Escola Classe Córrego do Ouro,-15.64124,-48.18124
Santa Maria, QR 301| Conjunto G| Área Especial, Ginásio de Lutas de Santa Maria,-16.01124,-47.98124
Recanto das Emas, Quadra 805| Área Especial, Ginásio do Sesc Recanto das Emas,-15.92124,-48.08124
Lago Norte, SHIN QL 13| Conjunto 05, Ginásio do Colégio do Sol,-15.73124,-47.83124
Asa Norte, SGAN 604| Módulo C, Ginásio do Colégio Militar de Brasília,-15.77512,-47.88712
Guará II, QE 30| Área Especial| CAVE, Ginásio de Ginástica Artística,-15.82512,-47.99124
Águas Claras, Av. das Castanheiras| Lote 1310, Ginásio do Colégio Sigma,-15.83512,-48.02312
Taguatinga Norte, QNG| Área Especial 27, Ginásio da Universidade Católica,-15.83812,-48.03124
Sudoeste, SIG| Quadra 06, Ginásio do Corpo de Bombeiros,-15.80124,-47.92512
Cruzeiro Novo, SHCES 507| Bloco D, Ginásio do Centro de Ensino 04,-15.79124,-47.93212
Samambaia Sul, QS 303| Área Especial, Ginásio do Centro Olímpico,-15.87124,-48.08124
Ceilândia, QNM 27| Módulo B, Ginásio do Colégio Projeção,-15.82812,-48.13124
Asa Sul, SGAS 906| Conjunto A, Ginásio da Escola Americana,-15.81124,-47.89812
Noroeste, SQNW 111| Lote G, Ginásio do Condomínio Ícone,-15.75412,-47.91212
Gama, Setor de Indústrias| Lote 200, Ginásio do Senai Gama,-16.00412,-48.04512
Plano Piloto, Complexo da Polícia Civil| SPO, Ginásio da PCDF (Acadepol),-15.82124,-47.92124
Vicente Pires, Taguaparque| entrada de Vicente Pires, Ginásio de CrossfitPira,-15.83012,-48.03512
Jardim Botânico, Condomínio Ouro Vermelho I, Ginásio Poliesportivo do Condomínio,-15.90124,-47.80124
Itapoã, Condomínio Entre Lagos| Etapa 2, Ginásio do Clube do Condomínio,-15.74124,-47.79124
Candangolândia, EPIA Sul| Setor de Postos e Motéis, Ginásio do Park Sul,-15.84124,-47.93124
Asa Norte, SGAN 916| Módulo C, Ginásio da Unip,-15.75124,-47.89124
Riacho Fundo I, QN 3| Área Especial, Ginásio do Colégio Certo,-15.87812,-48.00512
Sobradinho, Quadra 07| Área Especial, Ginásio do CED 03,-15.65124,-47.79512
Taguatinga, CSG 09| Lote 10, Ginásio da Faculdade LS,-15.84124,-48.05812
Guará II, QE 17| Área Especial, Ginásio do Colégio JK,-15.82124,-47.98512
Águas Claras, QS 05| Rua 310, Ginásio do Uniplan,-15.83612,-48.03812
Samambaia, QN 203| Conjunto 01, Ginásio de Lutas de Samambaia,-15.86124,-48.09124
Cruzeiro, Setor de Oficinas| Lote 15, Ginásio do Sest Senat,-15.78124,-47.95124
Lago Sul, SCES| Trecho 02| Minas Tênis Clube, Ginásio Poliesportivo do Minas,-15.81124,-47.86124
Sudoeste, QMSW 02| Conjunto B, Ginásio do Colégio Presbiteriano Mackenzie,-15.79512,-47.91812
Asa Sul, SGAS 603| Módulo D, Ginásio do UPIS,-15.80812,-47.89412
Gama, Praça 02| Setor Central, Ginásio de Esportes do SESC Gama,-16.01812,-48.06812
Ceilândia, Setor P Sul| EQNP 13/17| Área Especial, Ginásio do Centro Olímpico,-15.84124,-48.14124
Plano Piloto, Esplanada dos Ministérios, Ginásio do Ministério da Educação,-15.79812,-47.86124
Noroeste, Entrequadra 310/311, Ginásio Poliesportivo do Parque,-15.75912,-47.90812
