Regiao_Administrativa,Endereço,Nome_do_ginasio,Horario_de_funcionamento,Latitude,Longitude
Itapoã,Del Lago II| Área Especial,Ginásio Comunitário do Itapoã,Todos os dias: 08:00 - 22:00,-15.76124,-47.77124
Estrutural,Setor Leste| Área Especial 05,Ginásio do Centro Olímpico,Todos os dias: 07:00 - 22:00,-15.77512,-47.95812
Candangolândia,QR 7| Praça dos Estados,Ginásio da Candangolândia,Todos os dias: 08:00 - 22:00,-15.86124,-47.94612
Varjão,Quadra 05| Conjunto A| Área Comunitária,Ginásio do Varjão,Todos os dias: 08:00 - 22:00,-15.72412,-47.86912
Plano Piloto,SGAS 910| Módulo B,Ginásio do Colégio Leonardo da Vinci,Seg a Sex: 08:00 - 20:00,-15.81512,-47.90212
Asa Sul,L2 Sul| Quadra 611,Ginásio da Igreja Batista Central,Conforme evento,-15.81612,-47.89712
Gama,Setor Industrial| Lote 1.770,Ginásio do Sesi Gama,Ter a Dom: 09:00 - 21:00,-16.00124,-48.04124
Sobradinho,Grande Colorado| Condomínio Vivendas,Ginásio do Clube da Aseel,Ter a Dom: 07:00 - 22:00,-15.68124,-47.83124
Riacho Fundo II,QN 15| Área Especial,Ginásio do Centro de Ensino 01,Seg a Sex: 08:00 - 22:00,-15.90124,-48.02124
Brazlândia,Incra 08| Lote 14,Ginásio da Escola Classe Córrego do Ouro,Seg a Sex: 08:00 - 18:00,-15.64124,-48.18124
Santa Maria,QR 301| Conjunto G| Área Especial,Ginásio de Lutas de Santa Maria,Todos os dias: 08:00 - 22:00,-16.01124,-47.98124
Recanto das Emas,Quadra 805| Área Especial,Ginásio do Sesc Recanto das Emas,Ter a Dom: 09:00 - 21:00,-15.92124,-48.08124
Lago Norte,SHIN QL 13| Conjunto 05,Ginásio do Colégio do Sol,Seg a Sex: 08:00 - 20:00,-15.73124,-47.83124
Asa Norte,SGAN 604| Módulo C,Ginásio do Colégio Militar de Brasília,Seg a Sex: 08:00 - 22:00,-15.77512,-47.88712
Guará II,QE 30| Área Especial| CAVE,Ginásio de Ginástica Artística,Todos os dias: 07:00 - 22:00,-15.82512,-47.99124
Águas Claras,Av. das Castanheiras| Lote 1310,Ginásio do Colégio Sigma,Seg a Sex: 08:00 - 20:00,-15.83512,-48.02312
Taguatinga Norte,QNG| Área Especial 27,Ginásio da Universidade Católica,Seg a Sex: 07:00 - 23:00,-15.83812,-48.03124
Sudoeste,SIG| Quadra 06,Ginásio do Corpo de Bombeiros,Seg a Sex: 08:00 - 18:00,-15.80124,-47.92512
Cruzeiro Novo,SHCES 507| Bloco D,Ginásio do Centro de Ensino 04,Seg a Sex: 08:00 - 22:00,-15.79124,-47.93212
Samambaia Sul,QS 303| Área Especial,Ginásio do Centro Olímpico,Todos os dias: 07:00 - 22:00,-15.87124,-48.08124
Ceilândia,QNM 27| Módulo B,Ginásio do Colégio Projeção,Seg a Sex: 08:00 - 20:00,-15.82812,-48.13124
Asa Sul,SGAS 906| Conjunto A,Ginásio da Escola Americana,Seg a Sex: 08:00 - 20:00,-15.81124,-47.89812
Noroeste,SQNW 111| Lote G,Ginásio do Condomínio Ícone,Uso exclusivo dos moradores,-15.75412,-47.91212
Gama,Setor de Indústrias| Lote 200,Ginásio do Senai Gama,Seg a Sex: 07:00 - 22:00,-16.00412,-48.04512
Plano Piloto,Complexo da Polícia Civil| SPO,Ginásio da PCDF (Acadepol),Seg a Sex: 08:00 - 18:00,-15.82124,-47.92124
Vicente Pires,Taguaparque| entrada de Vicente Pires,Ginásio de CrossfitPira,Seg a Sáb: 06:00 - 23:00,-15.83012,-48.03512
Jardim Botânico,Condomínio Ouro Vermelho I,Ginásio Poliesportivo do Condomínio,Uso exclusivo dos moradores,-15.90124,-47.80124
Itapoã,Condomínio Entre Lagos| Etapa 2,Ginásio do Clube do Condomínio,Uso exclusivo dos moradores,-15.74124,-47.79124
Candangolândia,EPIA Sul| Setor de Postos e Motéis,Ginásio do Park Sul,Seg a Sáb: 06:00 - 23:00,-15.84124,-47.93124
Asa Norte,SGAN 916| Módulo C,Ginásio da Unip,Seg a Sex: 07:00 - 23:00,-15.75124,-47.89124
Riacho Fundo I,QN 3| Área Especial,Ginásio do Colégio Certo,Seg a Sex: 08:00 - 20:00,-15.87812,-48.00512
Sobradinho,Quadra 07| Área Especial,Ginásio do CED 03,Seg a Sex: 08:00 - 22:00,-15.65124,-47.79512
Taguatinga,CSG 09| Lote 10,Ginásio da Faculdade LS,Seg a Sex: 07:00 - 23:00,-15.84124,-48.05812
Guará II,QE 17| Área Especial,Ginásio do Colégio JK,Seg a Sex: 08:00 - 20:00,-15.82124,-47.98512
Águas Claras,QS 05| Rua 310,Ginásio do Uniplan,Seg a Sex: 07:00 - 23:00,-15.83612,-48.03812
Samambaia,QN 203| Conjunto 01,Ginásio de Lutas de Samambaia,Todos os dias: 08:00 - 22:00,-15.86124,-48.09124
Cruzeiro,Setor de Oficinas| Lote 15,Ginásio do Sest Senat,Ter a Dom: 09:00 - 21:00,-15.78124,-47.95124
Lago Sul,SCES| Trecho 02| Minas Tênis Clube,Ter a Dom: 07:00 - 22:00,-15.81124,-47.86124
Sudoeste,QMSW 02| Conjunto B,Ginásio do Colégio Presbiteriano Mackenzie,Seg a Sex: 08:00 - 20:00,-15.79512,-47.91812
Asa Sul,SGAS 603| Módulo D,Ginásio do UPIS,Seg a Sex: 07:00 - 23:00,-15.80812,-47.89412
Gama,Praça 02| Setor Central,Ginásio de Esportes do SESC Gama,Ter a Dom: 09:00 - 21:00,-16.01812,-48.06812
Ceilândia,Setor P Sul| EQNP 13/17| Área Especial,Ginásio do Centro Olímpico,Todos os dias: 07:00 - 22:00,-15.84124,-48.14124
Plano Piloto,Esplanada dos Ministérios,Ginásio do Ministério da Educação,Seg a Sex: 08:00 - 18:00,-15.79812,-47.86124
Noroeste,Entrequadra 310/311,Ginásio Poliesportivo do Parque,Todos os dias: 08:00 - 22:00,-15.75912,-47.90812
